,0,1,2,3,4,5,6,7,8,9
0,"Row(('s-alexey/orange3', 2), {'repo_name': 0, 'count': 1})","Row(('ajdapretnar/orange3', 2), {'repo_name': 0, 'count': 1})","Row(('mmmatthew/raycast', 1), {'repo_name': 0, 'count': 1})","Row(('mdeff/cnn_graph', 1), {'repo_name': 0, 'count': 1})","Row(('qPCR4vir/orange3', 1), {'repo_name': 0, 'count': 1})","Row(('qusp/orange3', 1), {'repo_name': 0, 'count': 1})","Row(('sinhrks/expandas', 1), {'repo_name': 0, 'count': 1})","Row(('jzbontar/orange-tree', 1), {'repo_name': 0, 'count': 1})","Row(('janezd/orange3', 1), {'repo_name': 0, 'count': 1})","Row(('EmanuelaBoros/kaggle-national-data-science-bowl-', 1), {'repo_name': 0, 'count': 1})"
1,,,,,,,,,,
2,,,,,,,,,,
3,"Row(('adelomana/30sols', 3), {'repo_name': 0, 'count': 1})","Row(('adelomana/cassandra', 2), {'repo_name': 0, 'count': 1})","Row(('kwikadi/orange3', 1), {'repo_name': 0, 'count': 1})","Row(('Saran-nns/SORN', 1), {'repo_name': 0, 'count': 1})","Row(('janezd/orange3', 1), {'repo_name': 0, 'count': 1})","Row(('sinhrks/expandas', 1), {'repo_name': 0, 'count': 1})","Row(('ajdapretnar/orange3', 1), {'repo_name': 0, 'count': 1})","Row(('s-alexey/orange3', 1), {'repo_name': 0, 'count': 1})","Row(('mmathioudakis/pycon2016polarization', 1), {'repo_name': 0, 'count': 1})","Row(('jzbontar/orange-tree', 1), {'repo_name': 0, 'count': 1})"
4,"Row(('GodelBose/NSFW_Detection', 1), {'repo_name': 0, 'count': 1})",,,,,,,,,
5,"Row(('tanayz/Kaggle', 13), {'repo_name': 0, 'count': 1})","Row(('pranavtbhat/EE219', 5), {'repo_name': 0, 'count': 1})","Row(('amirhmoin/recodev', 4), {'repo_name': 0, 'count': 1})","Row(('gregversteeg/corex_topic', 4), {'repo_name': 0, 'count': 1})","Row(('alonsopg/AuthorProfiling', 4), {'repo_name': 0, 'count': 1})","Row(('ajerneck/thatsfordinner', 4), {'repo_name': 0, 'count': 1})","Row(('dssg/tweedr', 3), {'repo_name': 0, 'count': 1})","Row(('CommerceDataService/recordtagger', 2), {'repo_name': 0, 'count': 1})","Row(('leahsuperb/theme-extraction', 2), {'repo_name': 0, 'count': 1})","Row(('charanpald/wallhack', 2), {'repo_name': 0, 'count': 1})"
6,"Row(('zbarry/DeepScope', 3), {'repo_name': 0, 'count': 1})","Row(('QuantumFractal/hackisu-2017-nucleus', 3), {'repo_name': 0, 'count': 1})","Row(('penny4860/object-detector', 2), {'repo_name': 0, 'count': 1})","Row(('mrahim/adni_fdg_pet_analysis', 2), {'repo_name': 0, 'count': 1})","Row(('Foucl/face_scrambler', 2), {'repo_name': 0, 'count': 1})","Row(('nilearn/nilearn_sandbox', 2), {'repo_name': 0, 'count': 1})","Row(('EggInTheShell/TodoCounting', 2), {'repo_name': 0, 'count': 1})","Row(('salma1601/nilearn', 1), {'repo_name': 0, 'count': 1})","Row(('neuropoly/spinalcordtoolbox', 1), {'repo_name': 0, 'count': 1})","Row(('philouc/pyhrf', 1), {'repo_name': 0, 'count': 1})"
7,"Row(('memisevic/artify', 2), {'repo_name': 0, 'count': 1})","Row(('kastnerkyle/artify', 1), {'repo_name': 0, 'count': 1})",,,,,,,,
8,"Row(('dinos66/termAnalysis', 5), {'repo_name': 0, 'count': 1})","Row(('allinpaybusiness/ACS', 4), {'repo_name': 0, 'count': 1})","Row(('hugobuddel/orange3', 3), {'repo_name': 0, 'count': 1})","Row(('s-alexey/orange3', 2), {'repo_name': 0, 'count': 1})","Row(('ajdapretnar/orange3', 2), {'repo_name': 0, 'count': 1})","Row(('Upward-Spiral-Science/team1', 2), {'repo_name': 0, 'count': 1})","Row(('qusp/orange3', 2), {'repo_name': 0, 'count': 1})","Row(('janezd/orange3', 1), {'repo_name': 0, 'count': 1})","Row(('charanpald/sandbox', 1), {'repo_name': 0, 'count': 1})","Row(('CGATOxford/CGATPipelines', 1), {'repo_name': 0, 'count': 1})"
9,"Row(('sinhrks/expandas', 2), {'repo_name': 0, 'count': 1})","Row(('sinhrks/pandas-ml', 2), {'repo_name': 0, 'count': 1})","Row(('vsmolyakov/fin', 1), {'repo_name': 0, 'count': 1})","Row(('jdoepfert/nyc_taxi_tips', 1), {'repo_name': 0, 'count': 1})","Row(('ScottFreeLLC/AlphaPy', 1), {'repo_name': 0, 'count': 1})",,,,,
